Area Abbreviation,Area Code,Area,Item Code,Item,Element Code,Element,Unit,latitude,longitude,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013
SLE,197,Sierra Leone,2943,Meat,5142,Food,1000 tonnes,8.46,-11.78,20,12,23,24,24,26,30,36,39,43,49,54,67,65
SVK,199,Slovakia,2943,Meat,5142,Food,1000 tonnes,48.67,19.7,312,295,330,350,334,354,334,324,330,328,317,332,275,294
SVN,198,Slovenia,2943,Meat,5142,Food,1000 tonnes,46.15,15,184,172,163,185,178,183,175,170,179,179,176,168,162,148
SLB,25,Solomon Islands,2943,Meat,5142,Food,1000 tonnes,-9.65,160.16,3,3,4,4,4,5,5,5,6,6,6,9,7,8
ZAF,202,South Africa,2943,Meat,5521,Feed,1000 tonnes,-30.56,22.94,1,1,1,1,1,1,1,1,1,2,2,2,2,2
ZAF,202,South Africa,2943,Meat,5142,Food,1000 tonnes,-30.56,22.94,1866,1779,1848,1970,2066,2214,2422,2619,2842,2925,2996,3081,3163,3426
ESP,203,Spain,2943,Meat,5521,Feed,1000 tonnes,40.46,-3.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESP,203,Spain,2943,Meat,5142,Food,1000 tonnes,40.46,-3.75,4562,4692,4945,4974,4630,4689,4721,4949,4637,4503,4463,4454,4474,4413
LKA,38,Sri Lanka,2943,Meat,5142,Food,1000 tonnes,7.87,80.77,101,119,122,127,133,136,115,135,133,129,137,133,136,138
SDN,276,Sudan,2943,Meat,5142,Food,1000 tonnes,12.86,30.22,,,,,,,,,,,,,999,1027
SUR,207,Suriname,2943,Meat,5142,Food,1000 tonnes,3.92,-56.03,19,19,19,18,19,20,22,25,25,25,31,30,30,30
SWZ,209,Swaziland,2943,Meat,5142,Food,1000 tonnes,-26.52,31.47,26,29,37,39,52,37,32,30,28,28,29,27,28,32
SWE,210,Sweden,2943,Meat,5142,Food,1000 tonnes,60.13,18.64,613,624,679,684,692,701,702,718,734,730,755,768,749,781
CHE,211,Switzerland,2943,Meat,5142,Food,1000 tonnes,46.82,8.23,513,521,527,528,531,536,540,554,571,569,588,592,576,584
TJK,208,Tajikistan,2943,Meat,5142,Food,1000 tonnes,38.86,71.28,55,52,60,63,60,70,65,88,103,103,104,109,268,286
THA,216,Thailand,2943,Meat,5142,Food,1000 tonnes,15.87,100.99,1662,1597,1670,1780,1726,1824,1907,2030,1874,1789,1866,1857,1882,1965
THA,154,The former Yugoslav Republic of Macedonia,2943,Meat,5142,Food,1000 tonnes,41.61,21.75,63,62,76,77,82,77,77,103,78,83,78,75,80,80
TLS,176,Timor-Leste,2943,Meat,5142,Food,1000 tonnes,-8.87,125.73,32,34,37,38,39,32,34,35,36,37,37,39,40,42
TGO,217,Togo,2943,Meat,5142,Food,1000 tonnes,8.62,0.82,45,47,49,51,50,53,56,58,67,72,75,78,81,83
TTO,220,Trinidad and Tobago,2943,Meat,5142,Food,1000 tonnes,10.69,-61.22,50,56,65,68,75,71,68,79,80,85,92,92,96,102
TUN,222,Tunisia,2943,Meat,5142,Food,1000 tonnes,33.89,9.54,255,258,265,249,260,253,245,271,271,268,291,277,317,333
TUR,223,Turkey,2943,Meat,5142,Food,1000 tonnes,38.96,35.24,1393,1296,1353,1467,1551,1547,1553,1787,1714,1820,2264,2442,2579,2632
TKM,213,Turkmenistan,2943,Meat,5142,Food,1000 tonnes,38.97,59.56,152,162,192,210,211,209,210,281,284,292,291,294,299,299
UGA,226,Uganda,2943,Meat,5142,Food,1000 tonnes,1.37,32.29,266,282,306,329,343,362,367,393,391,409,430,440,456,456
UKR,230,Ukraine,2943,Meat,5521,Feed,1000 tonnes,48.38,31.17,8,7,7,10,0,0,0,0,0,0,0,0,0,0
UKR,230,Ukraine,2943,Meat,5142,Food,1000 tonnes,48.38,31.17,1529,1371,1557,1635,1838,1787,1947,2093,2372,2240,2259,2242,2460,2477
ARE,225,United Arab Emirates,2943,Meat,5142,Food,1000 tonnes,23.42,53.85,221,234,291,337,271,286,331,462,542,493,457,496,536,549
GBR,229,United Kingdom,2943,Meat,5142,Food,1000 tonnes,55.38,-3.44,4560,4662,4727,4969,5115,5055,5215,5211,5018,5004,5051,5168,5226,5165
TZA,215,United Republic of Tanzania,2943,Meat,5142,Food,1000 tonnes,-6.37,34.89,339,300,308,318,323,350,352,336,374,383,408,452,474,493
USA,231,United States of America,2943,Meat,5521,Feed,1000 tonnes,37.09,-95.71,22,21,29,35,14,14,20,32,39,40,42,45,46,49
USA,231,United States of America,2943,Meat,5142,Food,1000 tonnes,37.09,-95.71,34630,34728,36108,36074,37160,37361,37776,38117,37598,36738,37103,36621,36485,36849
URY,234,Uruguay,2943,Meat,5142,Food,1000 tonnes,-32.52,-55.77,262,287,263,197,207,191,198,202,252,236,253,257,239,280
UZB,235,Uzbekistan,2943,Meat,5142,Food,1000 tonnes,41.38,64.59,522,512,525,579,619,655,696,690,729,771,826,956,958,1029
VUT,155,Vanuatu,2943,Meat,5142,Food,1000 tonnes,-15.38,166.96,7,7,6,7,7,7,7,8,9,9,9,9,10,10
VEN,236,Venezuela (Bolivarian Republic of),2943,Meat,5142,Food,1000 tonnes,6.42,-66.59,1241,1407,1433,1246,1343,1415,1566,1802,2186,2110,2078,2195,2024,2213
VNM,237,Viet Nam,2943,Meat,5142,Food,1000 tonnes,14.06,108.28,1909,2068,2294,2472,2670,2968,3268,3655,4027,4441,4588,5179,4995,5063
YEM,249,Yemen,2943,Meat,5142,Food,1000 tonnes,15.55,48.52,233,253,281,333,327,344,323,369,367,419,435,434,483,498
ZMB,251,Zambia,2943,Meat,5142,Food,1000 tonnes,-13.13,27.85,137,143,148,152,148,156,149,155,159,172,186,183,187,190
ZWE,181,Zimbabwe,2943,Meat,5142,Food,1000 tonnes,-19.02,29.15,167,214,193,206,222,228,233,238,242,265,262,277,280,258
